collection_slug,collection_name,nft_identifier,nft_name,token_id,sale_price_wei,sale_price_eth,sale_timestamp,sale_timestamp_unix,twitter_search_start,twitter_search_end,twitter_keywords,buyer,seller,transaction_hash,opensea_url,floor_price,total_volume,num_owners,tweet_count,avg_sentiment,sentiment_confidence,consensus_quality,positive_tweets,negative_tweets,neutral_tweets,sentiment_range_min,sentiment_range_max
boredapeyachtclub,Boredapeyachtclub,5172,,5172,71000000000000000000,71.0,2022-12-31T22:14:11+00:00,1672524851,2022-12-30T22:14:11+00:00,2022-12-31T22:14:11+00:00,"['Boredapeyachtclub', '#Boredapeyachtclub', '#boredapeyachtclub', '#5172']",0x2c45eebbda13df4d32f250fee9627e1e992c3142,0x376bc7ddbc6a10f32b7421287f1dac6de0ad9f12,0x2f322e1cd4c6abbfa21ef3ccbde5f2d881657fe9cacd39121419227bc2490099,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/5172,11.949999,1612655.774105958,5501,5,0.3,0.9,0.9,2,1,2,0.3,0.3
boredapeyachtclub,Boredapeyachtclub,3182,,3182,70059000000000000000,70.059,2022-12-31T20:53:35+00:00,1672520015,2022-12-30T20:53:35+00:00,2022-12-31T20:53:35+00:00,"['Boredapeyachtclub', '#Boredapeyachtclub', '#boredapeyachtclub', '#3182']",0xbe1db1dc16341f7ed608753d94583c458ff4098f,0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,0xeda4eba601d9a36e440eb57b736eb78ec5238fbd22180135651407c2e3c74fbd,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3182,11.949999,1612655.774105958,5501,5,0.6,0.9,0.9,2,0,3,0.6,0.6
boredapeyachtclub,Boredapeyachtclub,3182,,3182,70061000000000000000,70.061,2022-12-31T20:45:47+00:00,1672519547,2022-12-30T20:45:47+00:00,2022-12-31T20:45:47+00:00,"['Boredapeyachtclub', '#Boredapeyachtclub', '#boredapeyachtclub', '#3182']",0xed2ab4948ba6a909a7751dec4f34f303eb8c7236,0xbe1db1dc16341f7ed608753d94583c458ff4098f,0x274db42a34134a0dde97cfe11d129ba3e257d0d95f8b3ef3d536883e9a9875cc,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/3182,11.949999,1612655.774105958,5501,5,0.6,0.9,0.9,2,0,3,0.6,0.6
pudgypenguins,Pudgypenguins,1987,Pudgy Penguin #1987,1987,5900000000000000000,5.9,2022-12-31T23:51:23+00:00,1672530683,2022-12-30T23:51:23+00:00,2022-12-31T23:51:23+00:00,"['Pudgypenguins', '#Pudgypenguins', '#pudgypenguins', 'Pudgy Penguin #1987', '#1987']",0x6fe30cb188beba39b4516af42cfae189bc43fb99,0x58e316d51ada862d71fba22ada6f56d00186af13,0x1b2c367417122a30ade6f4b4a939245ef46b88dc25ae58c428992a8d3796189a,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/1987,9.024996,502080.7467271391,4983,5,0.6,0.9,0.9,3,0,2,0.6,0.6
pudgypenguins,Pudgypenguins,4740,Pudgy Penguin #4740,4740,7297300000000000000,7.2973,2022-12-31T22:12:35+00:00,1672524755,2022-12-30T22:12:35+00:00,2022-12-31T22:12:35+00:00,"['Pudgypenguins', '#Pudgypenguins', '#pudgypenguins', 'Pudgy Penguin #4740', '#4740']",0x49b8f3de3d4c30f945591497ec05b4d495c46012,0xc2d118a11cce453ac65310c80286594228bbaf1d,0x586c13f542fec52fd8c55ce6c93a6bec5d3c600e59060af5e5dd7092fca1c8dc,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/4740,9.024996,502080.7467271391,4983,5,0.6,0.9,0.9,3,0,2,0.6,0.6
pudgypenguins,Pudgypenguins,3835,Pudgy Penguin #3835,3835,6400000000000000000,6.4,2022-12-31T20:56:47+00:00,1672520207,2022-12-30T20:56:47+00:00,2022-12-31T20:56:47+00:00,"['Pudgypenguins', '#Pudgypenguins', '#pudgypenguins', 'Pudgy Penguin #3835', '#3835']",0x25cf64beb03949c6283e719a67434ec64a564534,0x585a1508aa4557f8303a7b1a402ff9b6abdec443,0xb52e2a6023e015b7d812edaba1e1d1c1b8213920dde4fefb51cf940e7dd5162c,https://opensea.io/assets/ethereum/0xbd3531da5cf5857e7cfaa92426877b022e612cf8/3835,9.024996,502080.7467271391,4983,5,0.6,0.9,0.9,3,0,2,0.6,0.6
azuki,Azuki,4490,Azuki #4490,4490,2000000000000000000,2.0,2022-12-31T23:57:35+00:00,1672531055,2022-12-30T23:57:35+00:00,2022-12-31T23:57:35+00:00,"['Azuki', '#Azuki', '#azuki', 'Azuki #4490', '#4490']",0x604eafd2d3f0d7f74f731e66cb58c1315f18d7b4,0xe02bf9fabd3cc659b99682a5c0bc7355f963b82e,0x73fc46235790580318096f8e012fc24201bfeaf86935a2060e89a603b6ec0517,https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/4490,2.149997,840280.1766196506,4163,5,0.3,0.9,0.9,2,0,3,0.3,0.3
azuki,Azuki,4490,Azuki #4490,4490,2000000000000000000,2.0,2022-12-31T23:51:23+00:00,1672530683,2022-12-30T23:51:23+00:00,2022-12-31T23:51:23+00:00,"['Azuki', '#Azuki', '#azuki', 'Azuki #4490', '#4490']",0xe02bf9fabd3cc659b99682a5c0bc7355f963b82e,0x604eafd2d3f0d7f74f731e66cb58c1315f18d7b4,0x2f43f2bca5ffdece7c7340061c8d7b393ad20285d59d527d3d90c16c83c2993d,https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/4490,2.149997,840280.1766196506,4163,5,0.6,0.9,0.9,4,0,1,0.6,0.6
azuki,Azuki,500,Azuki #500,500,12960000000000000000,12.96,2022-12-31T21:59:47+00:00,1672523987,2022-12-30T21:59:47+00:00,2022-12-31T21:59:47+00:00,"['Azuki', '#Azuki', '#azuki', 'Azuki #500', '#500']",0x87ddb35248bd18ab1734cb1d8195a65709138362,0x3c1138a7e2ca747e2945c61797b3a4f2494ea3d1,0xa6af958241bfee06992716954fdab2d4313c444a42f9e87e82f3da2622c66f35,https://opensea.io/assets/ethereum/0xed5af388653567af2f388e6224dc7c4b3241c544/500,2.149997,840280.1766196506,4163,5,0.2,0.9,0.9,1,0,4,0.2,0.2
